UrbanZone,County,Population
Ballynacarrow,Sligo,220
Kilmore,Wexford,194
Newtown,Cork,433
Dunlavin,Wicklow,1074
Carrickmacross,Monaghan,5745
Charleville,Cork,3970
Mountcollins,Limerick,234
Kernanstown,Carlow,269
Dunfanaghy,Donegal,439
Mullinavat,Kilkenny,210
Loughglinn,Roscommon,231
Brosna,Kerry,174
Bunratty,Clare,288
Muinebeag (Bagenalstown),Carlow,2945
Ringaskiddy-Loughbeg,Cork,575
Coachford,Cork,450
Stamullen,Meath,3720
Kill,Kildare,3818
Kilmessan,Meath,907
Midleton,Cork,13906
Quilty,Clare,211
Myshall,Carlow,292
Knockcroghery,Roscommon,388
Newmarket-On-Fergus,Clare,1887
Ballinameen,Roscommon,223
Strandhill,Sligo,1982
Foynes,Limerick,512
Annaghdown,Galway,202
Roscommon,Roscommon,6555
Clonee,Meath,1205
Swinford,Mayo,1459
Allenwood,Kildare,1685
Glin,Limerick,644
Drumod,Leitrim,753
Cootehall,Roscommon,287
Navan,Meath,33886
Glenville,Cork,501
Ballineen-Enniskean,Cork,766
Quigleys Point,Donegal,213
Taghmon,Wexford,740
Belmont,Offaly,179
Castletown Geoghegan,Westmeath,297
Easky,Sligo,235
Cloughjordan,Tipperary,701
Whitegate,Cork,1248
Dunshaughlin,Meath,6644
Crookstown,Cork,183
Rear Cross,Tipperary,166
Halfway,Cork,252
Schull,Cork,669
Cootehill,Cavan,1856
The Commons,Tipperary,155
Kiltimagh,Mayo,1232
Arthurstown,Wexford,149
Riverstown,Sligo,394
Killeshandra,Cavan,248
Rosegreen,Tipperary,219
Mulranny,Mayo,315
Ballinroad,Waterford,1389
Killurin,Wexford,223
Longford,Longford,10952
Kilmoganny,Kilkenny,256
Newbridge,Kildare,24366
Ballyconnell,Cavan,1422
Ballybunion,Kerry,1618
Carlow,Carlow,27351
Dungarvan,Waterford,10081
An Bun Beag,Donegal,749
Kilgarvan,Kerry,264
Inniskeen,Monaghan,405
Tinahely,Wicklow,1037
Castlepollard,Westmeath,1349
Twomileborris,Tipperary,469
Drumkeen,Donegal,333
Carrigans,Donegal,389
Tallow,Waterford,1022
Athy,Kildare,11035
Drumsna,Leitrim,268
Killavullen,Cork,292
Ballydesmond,Cork,216
Leighlinbridge,Carlow,959
Castletown,Laois,454
Spanish Point,Clare,261
Bunclody,Wexford,2053
Bangor Erris,Mayo,344
Fieries,Kerry,573
Manorhamilton,Leitrim,1667
Johnstown,Kilkenny,450
Ballinlough,Roscommon,343
Lissycasey,Clare,390
Spa,Kerry,362
Ballyclerahan,Tipperary,830
Milford,Cork,264
Clara,Offaly,3403
Roscrea,Tipperary,5542
Camolin,Wexford,470
Rivermeade,Dublin,521
Kilpedder,Wicklow,1248
Dunmore,Galway,664
Castletownshend,Cork,167
Newbliss,Monaghan,352
Enfield,Meath,3663
Clonakilty,Cork,5112
Cill Charthaigh,Donegal,403
Ballindine,Mayo,468
Keadew,Roscommon,189
Bansha,Tipperary,329
Carraig Airt,Donegal,294
Ballyroan,Laois,657
Causeway,Kerry,220
Doohamlat,Monaghan,287
Ballon,Carlow,801
Julianstown,Meath,701
Cloughduv,Cork,440
Greencastle,Donegal,1268
Tullamore,Offaly,15598
Aughnacliffe,Longford,157
Coill Dubh (Blackwood),Kildare,1476
Bellanagare,Roscommon,162
Monaghan,Monaghan,7894
Crinkill,Offaly,795
Kilmead,Kildare,372
Mountbellew,Galway,774
Killimor,Galway,317
Corrofin,Galway,745
Puckaun,Tipperary,245
Newport,Mayo,815
Newmarket,Cork,1052
Abbeyleix,Laois,1897
Castlerea,Roscommon,2348
Carrigallen,Leitrim,481
Monasterevin,Kildare,5307
Ballymahon,Longford,1714
Castlemaine,Kerry,177
Quin,Clare,922
Gob an Choire,Mayo,265
Edgeworthstown,Longford,2199
Ballycullane,Wexford,230
Ballyjamesduff,Cavan,2917
Ballygawley,Sligo,285
Knockananna,Wicklow,201
Moville,Donegal,1390
Saleen,Cork,601
Louisburgh,Mayo,367
Ballyforan,Roscommon,227
Duncormick,Wexford,191
Leixlip,Kildare,16733
Ballycanew,Wexford,544
Rosses Point,Sligo,883
Gormanston,Meath,380
Scarriff-Tuamgraney,Clare,854
Portlaoise,Laois,23494
Lehinch,Clare,1018
Clonaslee,Laois,608
Newcastle West,Limerick,7209
Drangan,Tipperary,151
Shanbally,Cork,350
Bundoran,Donegal,2599
Baylin,Westmeath,284
Letterkenny,Donegal,22549
Dunkineely,Donegal,352
Ballygarvan,Cork,556
Gorey,Wexford,11517
Raphoe,Donegal,1161
Cappawhite,Tipperary,403
Scotshouse,Monaghan,317
Newbawn,Wexford,183
Rathkeale,Limerick,1231
Ennistimon,Clare,1137
Rosslare Harbour,Wexford,2247
Turlough,Mayo,379
Dunmore East,Waterford,1731
Athea,Limerick,418
Ahascragh,Galway,186
Suncroft,Kildare,491
Collooney,Sligo,1797
Ballyneety,Limerick,586
Waterville,Kerry,555
Raharney,Westmeath,174
Ballybrittas,Laois,435
Williamstown,Galway,198
Churchtown,Cork,684
Narraghmore,Kildare,375
Oldtown,Dublin,523
Milltown,Galway,211
Scotstown,Monaghan,436
Curragh Camp,Kildare,1076
Ramelton,Donegal,1288
Ballyhahill,Limerick,153
Strokestown,Roscommon,850
Carrigkerry,Limerick,190
Derrinturn,Kildare,1837
Portrane,Dublin,1262
Ballysimon,Wexford,331
Grenagh,Cork,724
Limerick city and suburbs,Limerick,102287
Sixmilebridge,Clare,2832
Loughrea,Galway,6322
Nurney,Kildare,497
Ballyhale,Kilkenny,184
Fiddown,Kilkenny,410
Killucan-Rathwire,Westmeath,1574
Ireland,Ireland,3630501
