GUID,GEOGID,GEOGDESC,Reference Geography,LEA_GUID,LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Population
2ae19629-3f14-13a3-e055-000000000001,13150400,BALLINA,CSO LEA-2022,2ae19629-3f14-13a3-e055-000000000001,BALLINA,13150400,Y,2ae19629-1493-13a3-e055-000000000001,MAYO COUNTY COUNCIL,MO,MAYO,Maigh Eo,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,25858
2ae19629-3f43-13a3-e055-000000000001,1350400,GLENTIES,CSO LEA-2022,2ae19629-3f43-13a3-e055-000000000001,GLENTIES,1350400,Y,2ae19629-14a4-13a3-e055-000000000001,DONEGAL COUNTY COUNCIL,DL,DONEGAL,Dún na nGall,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,25152
2ae19629-3ef4-13a3-e055-997440000001,13260417,BALBRIGGAN,CSO LEA-2022,2ae19629-3ef4-13a3-e055-997440000001,BALBRIGGAN,13260417,Y,2ae19629-14a0-13a3-e055-000000000001,FINGAL COUNTY COUNCIL,FL,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,40476
2ae19629-3f00-13a3-e055-000000000001,13100401,PORTLAOISE,CSO LEA-2022,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,34603
2ae19629-3ef4-13a3-e055-075000000001,1350406,LIFFORD-STRANORLAR,CSO LEA-2022,2ae19629-3ef4-13a3-e055-075000000001,LIFFORD-STRANORLAR,1350406,Y,2ae19629-14a4-13a3-e055-000000000001,DONEGAL COUNTY COUNCIL,DL,DONEGAL,Dún na nGall,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,26863
2ae19629-3f74-13a3-e055-000000000001,1390400,CASTLECOMER,CSO LEA-2022,2ae19629-3f74-13a3-e055-000000000001,CASTLECOMER,1390400,Y,2ae19629-14a8-13a3-e055-000000000001,KILKENNY COUNTY COUNCIL,KK,KILKENNY,Cill Chainnigh,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,24863
2ae19629-3ef4-13a3-e055-222220000001,1340408,MACROOM,CSO LEA-2022,2ae19629-3ef4-13a3-e055-222220000001,MACROOM,1340408,Y,2ae19629-14a3-13a3-e055-000000000001,CORK COUNTY COUNCIL,CK,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,39847
2ae19629-3f31-13a3-e055-000000000001,13220400,DUNGARVAN,CSO LEA-2022,2ae19629-3f31-13a3-e055-000000000001,DUNGARVAN,13220400,Y,2ae19629-149a-13a3-e055-000000000001,WATERFORD CITY AND COUNTY COUNCIL,WD,WATERFORD,Port Láirge,Munster,IE052,South-East,IE05,Southern,IE0,Ireland,22335
2ae19629-3f18-13a3-e055-000000000001,13160400,KELLS,CSO LEA-2022,2ae19629-3f18-13a3-e055-000000000001,KELLS,13160400,Y,2ae19629-1494-13a3-e055-000000000001,MEATH COUNTY COUNCIL,MH,MEATH,An Mhí,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,34575
2ae19629-3f5a-13a3-e055-000000000001,13260424,PEMBROKE,CSO LEA-2022,2ae19629-3f5a-13a3-e055-000000000001,PEMBROKE,13260424,Y,2ae19629-1433-13a3-e055-000000000001,DUBLIN CITY COUNCIL,DC,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,45663
2ae19629-3ef4-13a3-e055-000005600001,1370405,TRALEE,CSO LEA-2022,2ae19629-3ef4-13a3-e055-000005600001,TRALEE,1370405,Y,2ae19629-14a6-13a3-e055-000000000001,KERRY COUNTY COUNCIL,KY,KERRY,Ciarraí,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,35922
2ae19629-3f20-13a3-e055-000000000001,13170402,BALLYBAY-CLONES,CSO LEA-2022,2ae19629-3f20-13a3-e055-000000000001,BALLYBAY-CLONES,13170402,Y,2ae19629-1495-13a3-e055-000000000001,MONAGHAN COUNTY COUNCIL,MN,MONAGHAN,Muineachán,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,18421
2ae19629-3f59-13a3-e055-000000000001,13260423,KIMMAGE-RATHMINES,CSO LEA-2022,2ae19629-3f59-13a3-e055-000000000001,KIMMAGE-RATHMINES,13260423,Y,2ae19629-1433-13a3-e055-000000000001,DUBLIN CITY COUNCIL,DC,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,59788
2ae19629-3ef4-13a3-e055-999220000001,13250405,BRAY EAST,CSO LEA-2022,2ae19629-3ef4-13a3-e055-999220000001,BRAY EAST,13250405,Y,2ae19629-149e-13a3-e055-000000000001,WICKLOW COUNTY COUNCIL,WW,WICKLOW,Cill Mhantáin,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,17728
2ae19629-3f3e-13a3-e055-000000000001,13250401,BRAY WEST,CSO LEA-2022,2ae19629-3f3e-13a3-e055-000000000001,BRAY WEST,13250401,Y,2ae19629-149e-13a3-e055-000000000001,WICKLOW COUNTY COUNCIL,WW,WICKLOW,Cill Mhantáin,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,19144
9821f9f9-aacc-4b08-94ac-e3b1ba87db1e,13160401,LAYTOWN-BETTYSTOWN,CSO LEA-2022,9821f9f9-aacc-4b08-94ac-e3b1ba87db1e,LAYTOWN-BETTYSTOWN,13160401,N,2ae19629-1494-13a3-e055-000000000001,MEATH COUNTY COUNCIL,MH,MEATH,An Mhí,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,40660
2ae19629-3f1f-13a3-e055-000000000001,13170401,CARRICKMACROSS-CASTLEBLAYNEY,CSO LEA-2022,2ae19629-3f1f-13a3-e055-000000000001,CARRICKMACROSS-CASTLEBLAYNEY,13170401,Y,2ae19629-1495-13a3-e055-000000000001,MONAGHAN COUNTY COUNCIL,MN,MONAGHAN,Muineachán,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,23469
2ae19629-3f38-13a3-e055-000000000001,13230402,KINNEGAD,CSO LEA-2022,2ae19629-3f38-13a3-e055-000000000001,KINNEGAD,13230402,Y,2ae19629-149b-13a3-e055-000000000001,WESTMEATH COUNTY COUNCIL,WH,WESTMEATH,An Iarmhí,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,23368
2ae19629-3ef4-13a3-e055-553330000001,1310402,MUINEBEAG,CSO LEA-2022,2ae19629-3ef4-13a3-e055-553330000001,MUINEBEAG,1310402,Y,2ae19629-1492-13a3-e055-000000000001,CARLOW COUNTY COUNCIL,CW,CARLOW,Ceatharlach,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,16575
2ae19629-3f0d-13a3-e055-000000000001,13130400,GRANARD,CSO LEA-2022,2ae19629-3f0d-13a3-e055-000000000001,GRANARD,13130400,Y,2ae19629-1490-13a3-e055-000000000001,LONGFORD COUNTY COUNCIL,LD,LONGFORD,An Longfort,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,11500
2ae19629-3f09-13a3-e055-000000000001,13120402,CAPPAMORE-KILMALLOCK,CSO LEA-2022,2ae19629-3f09-13a3-e055-000000000001,CAPPAMORE-KILMALLOCK,13120402,Y,2ae19629-148f-13a3-e055-000000000001,LIMERICK CITY AND COUNTY COUNCIL,LK,LIMERICK,Luimneach,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,36500
2ae19629-3f23-13a3-e055-000000000001,13180402,EDENDERRY,CSO LEA-2022,2ae19629-3f23-13a3-e055-000000000001,EDENDERRY,13180402,Y,2ae19629-1496-13a3-e055-000000000001,OFFALY COUNTY COUNCIL,OY,OFFALY,Uíbh Fhailí,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,25188
2ae19629-3f28-13a3-e055-000000000001,13200401,SLIGO-DRUMCLIFF,CSO LEA-2022,2ae19629-3f28-13a3-e055-000000000001,SLIGO-DRUMCLIFF,13200401,Y,2ae19629-1498-13a3-e055-000000000001,SLIGO COUNTY COUNCIL,SO,SLIGO,Sligeach,Connacht,IE041,Border,IE04,Northern and Western,IE0,Ireland,18817
2ae19629-3ef4-13a3-e055-999990000001,1340412,CORK CITY SOUTH EAST,CSO LEA-2022,2ae19629-3ef4-13a3-e055-999990000001,CORK CITY SOUTH EAST,1340412,Y,2ae19629-1434-13a3-e055-000000000001,CORK CITY COUNCIL,CC,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,45400
