Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website,Denomination,Latitude,Longitude
Calvary Church Charlestown,Community Enterprise Centre,Airport Rd,Charlestown,Mayo,,,Independent Evangelical,53.9634,-8.7943
Calvary Church Claremorris,"Unit 7, Lakeside Retail Park",Ballindine Rd,Claremorris,Mayo,F12 YW82,,Independent Evangelical,53.7175,-9.0009
Calvary Church Loughrea,Loughrea Hotel & Spa,,Loughrea,Galway,H62 Y189,www.calvarychurchloughrea.com,Independent Evangelical,53.202562,-8.586116
Calvary Church Westport,Distillery Rd,,Westport,Co. Mayo,F28 P8X2,calvarywestport.ie,Independent Evangelical,53.800275,-9.517035
Castlebar Christian Fellowship,The Mall,Rock Square,Castlebar,Mayo,F23 HX96,https://www.castlebarchristianfellowship.org/,Independent Evangelical,53.854923,-9.297844
Christ City Church Dublin,"Synge Street Secondary School, Synge Street",Portobello,Dublin 8,Dublin,,christcitychurch.ie,Independent Evangelical,53.333248,-6.267112
Christian Assembly Evangelical Church,110 Middle Abbey Street,,Dublin,Dublin,D01 EH48,http://www.caec.ie/,Independent Evangelical,53.348113,-6.263342
Christian Church Tralee,,,,,,,Independent Evangelical,52.268874,-9.691741
Christian Community Church Arklow,,,,,,,Independent Evangelical,52.803083,-6.144087
Christian Fellowship Church Dublin,Unit 6 Malahide Road Industrial Park Coolock,,Dublin,Dublin,D17 EP86,,Independent Evangelical,53.4010,-6.2089
Clondalkin Christian Fellowship,"Rowlagh Community Centre, Neilstown Road",,"Clondalkin, Dublin 22",Dublin,,https://clondalkinchristianfellowship.com,Independent Evangelical,53.343572,-6.398226
Clonmel Christian Bible Church,Western Park,,Clonmel,Tipperary,,https://clonmelbiblechurch.wordpress.com/,Independent Evangelical,52.353642,-7.717792
Community Christian Church,Unit 2 Gairdin Mhaire,,Moycullen,Galway,H91 K35R,Www.CommunityChristian.ie,Independent Evangelical,53.339307,-9.182126
Cootehill Christian Fellowship,66 Bridge Street,,Cootehill,Cavan,,https://cootehillchristianfellowship.ie/,Independent Evangelical,54.074453,-7.085014
Cornerstone Church at the Well,"The Well, Church Terrace, Main Street",,Bray,Wicklow,A98 VE43,cornerstonechurch.ie,Independent Evangelical,53.204859,-6.10999
Cove Street Christian Fellowship,42 Cove Street,,Cork,Cork,,,Independent Evangelical,51.894949,-8.474385
Crossroads Church Dublin,1A Earlscourt Industrial Estate,"Beaumont Avenue, Churchtown",Dublin 14,Dublin,D14 E0F4,https://crossroadschurchdublin.blogspot.com/,Independent Evangelical,53.292258,-6.259351
Dublin Christian Fellowship,"Unit 10 Lilmar Industrial Estate, Coolock Lane",,"Santry, Dublin 9",Dublin,,https://www.messagedublin.com,Independent Evangelical,53.399028,-6.239085
Dublin Prayer Fellowship,"39 Maplewood Park, Springfield",,"Tallaght, Dublin 24",Dublin,,http://www.dublinprayerfellowship.com/,Independent Evangelical,53.286018,-6.382981
Dublin West Community Church,Hansfield Educate Together National School,"Barnwell Road, Hansfield",Dublin 15,Dublin,D15 H1FC,https://dublinwest.ie,Independent Evangelical,53.391477,-6.445011
